file,X8,X16,VE,ET
D:\0Project\Crack\in/0.tif,145.000000,37120.000000,1.799927,0.067482
D:\0Project\Crack\in/test (1).png,118.000000,30208.000000,1.828828,0.046210
D:\0Project\Crack\in/test (10).png,180.000000,46080.000000,4.320510,0.065893
D:\0Project\Crack\in/test (2).png,99.000000,25344.000000,1.594133,0.066161
D:\0Project\Crack\in/test (3).png,104.000000,26624.000000,3.122896,0.080314
D:\0Project\Crack\in/test (4).png,103.000000,26368.000000,1.318389,0.053784
D:\0Project\Crack\in/test (5).png,125.000000,32000.000000,2.178059,0.059007
D:\0Project\Crack\in/test (6).png,113.000000,28928.000000,1.651331,0.066990
D:\0Project\Crack\in/test (7).png,117.000000,29952.000000,2.362229,0.067064
D:\0Project\Crack\in/test (8).png,164.000000,41984.000000,3.870068,0.067539
D:\0Project\Crack\in/test (9).png,171.000000,43776.000000,4.498892,0.066230
